사용일자,노선명,역명,승차총승객수,하차총승객수
20251001,2호선,용두(동대문구청),3825,4025
20251001,3호선,지축,8659,8889
20251001,3호선,구파발,25271,24517
20251001,3호선,연신내,41310,39167
20251001,3호선,불광,18923,19967
20251001,3호선,녹번,17536,16132
20251001,3호선,홍제,20757,19770
20251001,3호선,무악재,4778,4707
20251001,3호선,독립문,8805,9424
20251001,3호선,경복궁(정부서울청사),27865,27918
20251001,3호선,안국,26830,28092
20251001,3호선,종로3가,12681,13471
20251001,3호선,을지로3가,13804,13688
20251001,3호선,충무로,3,0
20251001,3호선,동대입구,12906,14134
20251001,3호선,약수,14258,13950
20251001,3호선,금호,9039,8440
20251001,3호선,옥수,10430,10537
20251001,3호선,압구정,33340,36142
20251001,3호선,신사,29061,31149
20251001,3호선,잠원,8057,7716
20251001,3호선,고속터미널,46131,45906
20251001,3호선,교대(법원.검찰청),19555,11528
20251001,3호선,남부터미널(예술의전당),33853,34938
20251001,3호선,양재(서초구청),43032,45431
20251001,3호선,매봉,15090,14479
20251001,3호선,도곡,6971,6658
20251001,3호선,대치,13460,13568
20251001,3호선,학여울,2277,2259
20251001,3호선,대청,12886,11849
20251001,3호선,일원,13327,12912
20251001,3호선,수서,20163,20614
20251001,3호선,가락시장,10779,10394
20251001,3호선,경찰병원,8629,8496
20251001,3호선,오금,7484,6507
20251001,4호선,불암산,10868,9256
20251001,4호선,상계,22219,20817
20251001,4호선,노원,22974,25665
20251001,4호선,창동,30828,32652
20251001,4호선,쌍문,33009,30518
20251001,1호선,서울역,73447,73541
20251001,4호선,수유(강북구청),38168,38039
20251001,4호선,미아(서울사이버대학),18798,18297
20251001,4호선,미아사거리,29310,28936
20251001,4호선,길음,25448,25530
20251001,4호선,성신여대입구(돈암),26208,23584
20251001,4호선,한성대입구(삼선교),17647,16727
20251001,4호선,혜화,42594,40689
20251001,4호선,동대문,20073,20211
20251001,4호선,동대문역사문화공원(DDP),18795,16649
20251001,4호선,충무로,36027,36576
20251001,4호선,명동,33151,34908
20251001,4호선,회현(남대문시장),30478,31980
20251001,4호선,서울역,14649,23272
20251001,4호선,숙대입구(갈월),18187,17644
20251001,4호선,삼각지(전쟁기념관),6607,7470
20251001,4호선,신용산,21840,24278
20251001,4호선,이촌(국립중앙박물관),10308,11353
20251001,4호선,동작(현충원),2574,2687
20251001,4호선,총신대입구(이수),22160,23956
20251001,4호선,사당,27631,24447
20251001,4호선,남태령,1490,1298
20251001,5호선,방화,7966,7591
20251001,5호선,개화산,7122,6771
20251001,5호선,김포공항,12089,8573
20251001,5호선,송정,7185,6778
20251001,5호선,마곡,17372,17544
20251001,5호선,발산,26498,26929
20251001,5호선,우장산,17369,17272
20251001,5호선,화곡,32133,29913
20251001,5호선,까치산,31141,29752
20251001,5호선,신정(은행정),15602,12848
20251001,5호선,목동,18869,20758
20251001,5호선,오목교(목동운동장앞),24160,25901
20251001,5호선,양평,9679,9466
20251001,5호선,영등포구청,5897,5878
20251001,5호선,영등포시장,13416,13518
20251001,5호선,신길,5391,5576
20251001,5호선,여의도,32502,34662
20251001,5호선,여의나루,15992,17129
20251001,5호선,마포,16744,17058
20251001,5호선,공덕,16645,17386
20251001,5호선,애오개,7696,7405
20251001,5호선,충정로(경기대입구),5894,6177
20251001,5호선,서대문,23073,23315
20251001,5호선,광화문(세종문화회관),37022,39148
20251001,5호선,종로3가,15665,16518
20251001,5호선,을지로4가,8369,8061
20251001,5호선,동대문역사문화공원(DDP),3629,4121
20251001,5호선,청구,3995,3728
20251001,5호선,신금호,7286,7726
20251001,5호선,행당,9218,8243
20251001,5호선,왕십리(성동구청),5331,5904
20251001,5호선,마장,7168,6856
20251001,5호선,답십리,18149,16164
20251001,5호선,장한평,22846,22398
20251001,5호선,군자(능동),13273,14385
20251001,5호선,아차산(어린이대공원후문),16660,16410
20251001,5호선,광나루(장신대),13257,12629
20251001,5호선,천호(풍납토성),22004,21513
20251001,5호선,강동,21284,20529
20251001,5호선,길동,10092,10252
20251001,5호선,굽은다리(강동구민회관앞),11242,10743
20251001,5호선,명일,9594,9553
20251001,5호선,고덕,12347,12030
20251001,5호선,상일동,17505,16392
20251001,5호선,둔촌동,15260,14943
20251001,5호선,올림픽공원(한국체대),5503,4670
20251001,5호선,방이,8431,8627
20251001,5호선,오금,4370,4467
20251001,5호선,개롱,7652,7876
20251001,5호선,거여,11790,11578
20251001,5호선,마천,8462,7295
20251001,5호선,강일,7115,6441
20251001,5호선,미사,21064,20852
20251001,5호선,하남풍산,5234,5263
20251001,5호선,하남시청(덕풍·신장),9799,9176
20251001,5호선,하남검단산,7272,6842
20251001,6호선,응암,20836,20407
20251001,6호선,역촌,4408,5179
20251001,6호선,불광,5337,4931
20251001,6호선,독바위,3096,3310
20251001,6호선,연신내,3,0
20251001,6호선,구산,9422,7307
20251001,6호선,새절(신사),14847,13823
20251001,6호선,증산(명지대앞),10611,10505
20251001,6호선,디지털미디어시티,17250,18421
20251001,6호선,월드컵경기장(성산),5322,5541
20251001,6호선,마포구청,16914,15218
20251001,6호선,망원,17109,17981
20251001,6호선,합정,13881,13840
20251001,6호선,상수,11115,12315
20251001,6호선,광흥창(서강),11456,11046
20251001,6호선,대흥(서강대앞),12031,12518
20251001,6호선,공덕,21751,21399
20251001,6호선,효창공원앞,9211,8670
20251001,6호선,삼각지(전쟁기념관),8075,7353
20251001,6호선,녹사평(용산구청),5661,5558
20251001,6호선,이태원,11110,11597
20251001,6호선,한강진,9465,11355
20251001,6호선,버티고개,2578,2548
20251001,6호선,약수,4238,4048
20251001,6호선,청구,4222,4149
20251001,6호선,신당,8785,9239
20251001,6호선,동묘앞,9288,9567
20251001,6호선,창신,4411,3684
20251001,6호선,보문,9516,8806
20251001,6호선,안암(고대병원앞),17685,17906
20251001,6호선,고려대(종암),11054,10245
20251001,6호선,월곡(동덕여대),14974,14107
20251001,6호선,상월곡(한국과학기술연구원),7872,7754
20251001,6호선,돌곶이,13965,12809
20251001,6호선,석계,14585,14694
20251001,6호선,태릉입구,6665,7480
20251001,6호선,화랑대(서울여대입구),14420,11706
20251001,6호선,봉화산(서울의료원),10050,9172
20251001,7호선,도봉산,10516,12008
20251001,7호선,수락산,13877,13823
20251001,7호선,마들,15441,14457
20251001,7호선,노원,22276,23766
20251001,1호선,종각,44650,44105
20251001,7호선,하계,21021,19499
20251001,7호선,공릉(서울과학기술대),14556,14110
20251001,7호선,태릉입구,10200,9606
20251001,7호선,먹골,11596,11497
20251001,7호선,중화,12567,12396
20251001,7호선,상봉,19243,19067
20251001,7호선,면목,17753,17055
20251001,7호선,사가정,18239,18335
20251001,7호선,용마산(용마폭포공원),6991,7015
20251001,7호선,중곡,13383,12238
20251001,7호선,군자(능동),17282,13934
20251001,7호선,어린이대공원(세종대),21295,22146
20251001,7호선,건대입구,15833,17106
20251001,7호선,자양(뚝섬한강공원),12196,11826
20251001,7호선,청담,21329,23054
20251001,7호선,강남구청,19259,21334
20251001,7호선,학동,26608,27411
20251001,7호선,논현,22154,22747
20251001,7호선,반포,7948,7677
20251001,7호선,고속터미널,17910,16294
20251001,7호선,내방,17535,17431
20251001,7호선,이수,19220,18949
20251001,7호선,남성,13016,12420
20251001,7호선,숭실대입구(살피재),17852,17841
20251001,7호선,상도,14871,14636
20251001,7호선,장승배기,11002,10762
20251001,7호선,신대방삼거리,17471,16628
20251001,7호선,보라매,7624,8144
20251001,7호선,신풍,13681,12806
20251001,7호선,대림(구로구청),9487,9562
20251001,7호선,남구로,17230,18379
20251001,7호선,가산디지털단지,50938,51273
20251001,7호선,철산,25620,26017
20251001,7호선,광명사거리,24580,24314
20251001,7호선,천왕,14018,13590
20251001,7호선,온수(성공회대입구),12695,11492
20251001,8호선,암사역사공원,7861,6885
20251001,8호선,암사,18423,16863
20251001,8호선,천호(풍납토성),19100,21663
20251001,8호선,강동구청,12154,12306
20251001,8호선,몽촌토성(평화의문),8160,8462
20251001,8호선,잠실(송파구청),19167,22341
20251001,8호선,석촌,9498,10788
20251001,8호선,송파,11293,10987
20251001,1호선,시청,31346,31054
20251001,8호선,가락시장,10442,11443
20251001,8호선,문정,26642,27913
20251001,8호선,장지,19392,17901
20251001,8호선,복정,11710,9536
20251001,8호선,산성,7143,7257
20251001,8호선,남한산성입구(성남법원.검찰청),16174,14718
20251001,8호선,단대오거리,13820,13222
20251001,8호선,신흥,5943,5981
20251001,8호선,수진,6431,6010
20251001,8호선,모란,5265,4085
20251001,8호선,남위례,8765,8662
20251001,9호선,개화,3071,1977
20251001,9호선,김포공항,6084,12373
20251001,9호선,공항시장,3173,3377
20251001,9호선,신방화,7736,7916
20251001,9호선,마곡나루(서울식물원),16886,16445
20251001,9호선,양천향교,12727,13184
20251001,9호선,가양,26094,25295
20251001,9호선,증미,9573,9308
20251001,9호선,등촌,14751,14253
20251001,9호선,염창,20311,19389
20251001,9호선,신목동,5478,4775
20251001,9호선,선유도,10751,9682
20251001,9호선,당산,21400,20725
20251001,9호선,국회의사당,20570,20977
20251001,9호선,여의도,34920,33933
20251001,9호선,샛강,7724,7622
20251001,9호선,노량진,30455,30051
20251001,9호선,노들,6533,5581
20251001,9호선,흑석(중앙대입구),12343,12458
20251001,9호선,동작(현충원),2402,2043
20251001,9호선,구반포,2365,2141
20251001,9호선,신반포,6190,5683
20251001,9호선,고속터미널,15793,20362
20251001,9호선,사평,4957,4742
20251001,9호선,신논현,33887,33924
20251001,9호선2~3단계,언주,13476,13406
20251001,9호선2~3단계,선정릉,11914,12961
20251001,9호선2~3단계,삼성중앙,9640,9945
20251001,9호선2~3단계,봉은사,26130,27094
20251001,9호선2~3단계,종합운동장,5838,5798
20251001,9호선2~3단계,삼전,9735,9159
20251001,9호선2~3단계,석촌고분,8287,8214
20251001,9호선2~3단계,석촌,10560,9471
20251001,9호선2~3단계,송파나루,6587,6892
20251001,9호선2~3단계,한성백제,3853,3350
20251001,9호선2~3단계,올림픽공원(한국체대),7643,8002
20251001,9호선2~3단계,둔촌오륜,5291,5045
20251001,9호선2~3단계,중앙보훈병원,15925,13707
20251001,경강선,판교,6479,6352
20251001,경강선,이매,1102,1066
20251001,경강선,삼동,2721,2473
20251001,경강선,경기광주,9250,8735
20251001,경강선,초월,4125,3864
20251001,경강선,곤지암,2577,2491
20251001,경강선,신둔도예촌,1721,1511
20251001,경강선,이천,2985,3092
20251001,경강선,부발,2561,2502
20251001,경강선,세종대왕릉,396,371
20251001,경강선,여주,3354,3238
20251001,경강선,성남,1311,1090
20251001,경부선,서울역,8783,3938
20251001,경부선,남영,10854,11454
20251001,경부선,용산,41502,45012
20251001,경부선,노량진,11206,11163
20251001,경부선,대방,11900,13504
20251001,경부선,영등포,42092,43194
20251001,경부선,신도림,4257,4658
20251001,경부선,신길,9658,8678
20251001,경부선,구로,19013,19398
20251001,경부선,가산디지털단지,20226,23429
20251001,경부선,금천구청,11998,12327
20251001,경부선,석수,9340,8405
20251001,경부선,관악,8031,7803
20251001,경부선,안양,28521,28119
20251001,경부선,명학,10744,10729
20251001,경부선,금정,31380,32208
20251001,경부선,군포,7827,7791
20251001,경부선,의왕,10524,10395
20251001,경부선,성균관대,18133,17235
20251001,경부선,화서,11843,11628
20251001,경부선,수원,39722,43020
20251001,경부선,독산,19164,19375
20251001,경부선,세류,4060,3567
20251001,경부선,병점,18004,17680
20251001,경부선,세마,3741,3487
20251001,경부선,오산대,4496,4116
20251001,경부선,오산,11754,11656
20251001,경부선,진위,1926,1788
20251001,경부선,송탄,4714,4486
20251001,경부선,서정리,9201,8387
20251001,경부선,평택지제,4548,4411
20251001,경부선,평택,13876,13732
20251001,경부선,성환,7783,7223
20251001,경부선,직산,1102,1081
20251001,경부선,두정,9263,10209
20251001,경부선,천안,7827,6686
20251001,경부선,당정,7429,7036
20251001,경부선,서동탄,1690,1332
20251001,경부선,광명,3699,3410
20251001,경원선,이촌(국립중앙박물관),4747,3682
20251001,경원선,서빙고,2524,2368
20251001,경원선,한남,4095,4083
20251001,경원선,옥수,70,40
20251001,경원선,응봉,2086,1751
20251001,경원선,왕십리(성동구청),18813,18664
20251001,경원선,청량리(서울시립대입구),17102,18116
20251001,경원선,외대앞,13319,13061
20251001,경원선,신이문,9470,8763
20251001,경원선,석계,8432,9397
20251001,경원선,광운대,10661,10072
20251001,경원선,월계,8909,8200
20251001,경원선,녹천,5017,4176
20251001,경원선,방학,11395,11102
20251001,경원선,도봉,6589,6262
20251001,경원선,도봉산,8266,5343
20251001,경원선,망월사,10966,10965
20251001,경원선,회룡,15178,14730
20251001,경원선,의정부,21209,21635
20251001,경원선,가능,7458,7240
20251001,경원선,녹양,5032,4781
20251001,경원선,양주,8678,8308
20251001,경원선,덕계,7136,6563
20251001,경원선,덕정,7860,7358
20251001,경원선,지행,7360,7433
20251001,경원선,동두천중앙,3359,3185
20251001,경원선,보산,1597,1483
20251001,경원선,동두천,2516,2459
20251001,경원선,소요산,1763,1797
20251001,경원선,청산,187,163
20251001,경원선,전곡,1150,1068
20251001,경원선,연천,1199,1173
20251001,경의선,서울역,4063,5395
20251001,경의선,신촌,1276,1572
20251001,경의선,효창공원앞,3976,4298
20251001,경의선,공덕,4488,3875
20251001,경의선,서강대,2796,2798
20251001,경의선,홍대입구,2196,2619
20251001,경의선,가좌,7053,6754
20251001,경의선,디지털미디어시티,2967,2842
20251001,경의선,수색,3711,3799
20251001,경의선,한국항공대,4130,3778
20251001,경의선,강매,3767,3129
20251001,경의선,행신,8692,8668
20251001,경의선,능곡,5271,4916
20251001,경의선,곡산,741,758
20251001,경의선,백마,8597,8380
20251001,경의선,풍산,6973,6571
20251001,경의선,일산,11989,11767
20251001,경의선,탄현,8646,8188
20251001,경의선,야당,8757,8679
20251001,경의선,운정,7837,7275
20251001,경의선,금릉,5647,5520
20251001,경의선,금촌,7316,7273
20251001,경의선,월롱,2441,2119
20251001,경의선,파주,1815,1403
20251001,경의선,문산,5898,5636
20251001,경의선,임진강,22,10
20251001,경의선,운천,11,4
20251001,경인선,개봉,25348,24992
20251001,경인선,오류동,13130,12156
20251001,경인선,역곡,30364,30141
20251001,경인선,부천,34787,34945
20251001,경인선,송내,28994,28700
20251001,경인선,부평,30806,32055
20251001,경인선,백운,7908,7659
20251001,경인선,동암,16549,16501
20251001,경인선,주안,20196,18285
20251001,경인선,제물포,12619,12209
20251001,경인선,동인천,14293,13348
20251001,경인선,인천,4196,3367
20251001,경인선,구일,8831,8837
20251001,경인선,소사,8875,8234
20251001,경인선,부개,9673,9031
20251001,경인선,간석,6457,6144
20251001,경인선,도원,3662,3859
20251001,경인선,온수(성공회대입구),7482,7077
20251001,경인선,중동,10357,9573
20251001,경인선,도화,4818,4404
20251001,경춘선,신내,3349,3113
20251001,경춘선,갈매,3163,2755
20251001,경춘선,별내,2889,2650
20251001,경춘선,퇴계원,3781,3357
20251001,경춘선,사릉,2450,2392
20251001,경춘선,금곡,1985,1921
20251001,경춘선,평내호평,7537,7268
20251001,경춘선,천마산,1793,1603
20251001,경춘선,마석,4638,4499
20251001,경춘선,대성리,601,485
20251001,경춘선,청평,1941,1904
20251001,경춘선,상천,316,321
20251001,경춘선,가평,1953,1987
20251001,경춘선,굴봉산,111,119
20251001,경춘선,백양리,114,107
20251001,경춘선,강촌,509,537
20251001,경춘선,김유정,369,393
20251001,경춘선,남춘천,2875,2802
20251001,경춘선,춘천,1700,1466
20251001,공항철도 1호선,서울역,12405,11702
20251001,공항철도 1호선,공덕,3531,4266
20251001,공항철도 1호선,홍대입구,14174,13576
20251001,공항철도 1호선,디지털미디어시티,16039,15179
20251001,공항철도 1호선,마곡나루(서울식물원),16223,15068
20251001,공항철도 1호선,김포공항,9974,6396
20251001,공항철도 1호선,계양,10743,10592
20251001,공항철도 1호선,검암,6896,6971
20251001,공항철도 1호선,청라국제도시,8346,7783
20251001,공항철도 1호선,운서,10303,10486
20251001,공항철도 1호선,공항화물청사,2238,2360
20251001,공항철도 1호선,인천공항1터미널,14035,15071
20251001,공항철도 1호선,인천공항2터미널,7622,7459
20251001,공항철도 1호선,영종,4755,4893
20251001,과천선,선바위,8670,7613
20251001,과천선,경마공원,2936,2969
20251001,과천선,대공원,3911,3891
20251001,과천선,과천,6166,5660
20251001,과천선,정부과천청사,15740,16848
20251001,과천선,인덕원,29791,30345
20251001,과천선,평촌,20834,20325
20251001,과천선,범계,32018,31953
20251001,분당선,선릉,14894,22298
20251001,분당선,한티,17144,18256
20251001,분당선,도곡,8618,9067
20251001,분당선,구룡,4165,4111
20251001,분당선,개포동,5237,5210
20251001,분당선,대모산입구,6695,6381
20251001,분당선,수서,18835,20144
20251001,분당선,복정,2,0
20251001,분당선,수원,8564,7863
20251001,분당선,서울숲,13115,13613
20251001,분당선,압구정로데오,20093,21960
20251001,분당선,강남구청,10997,12807
20251001,분당선,선정릉,8562,8782
20251001,분당선,가천대,15054,14890
20251001,분당선,태평,14560,13966
20251001,분당선,모란,21819,22198
20251001,분당선,야탑,28638,30577
20251001,분당선,서현,25564,26294
20251001,분당선,수내,14991,15052
20251001,분당선,정자,21203,22159
20251001,분당선,미금,17595,18159
20251001,분당선,오리,12795,11037
20251001,분당선,이매,6555,5942
20251001,분당선,보정,2836,2485
20251001,분당선,죽전,15816,17330
20251001,분당선,구성,8040,7919
20251001,분당선,신갈,5276,5189
20251001,분당선,기흥,12451,11912
20251001,분당선,상갈,6004,5594
20251001,분당선,청명,5438,5116
20251001,분당선,영통,10332,10467
20251001,분당선,망포,17312,16668
20251001,분당선,매탄권선,6364,6272
20251001,분당선,수원시청,15422,16493
20251001,분당선,매교,6350,6240
20251001,서해선,김포공항,3399,4933
20251001,서해선,원종,5738,5517
20251001,서해선,부천종합운동장,3361,2905
20251001,수인선,고색,6776,6621
20251001,수인선,오목천,5595,4694
20251001,수인선,어천,1672,1560
20251001,수인선,야목,814,680
20251001,수인선,사리,5818,5137
20251001,수인선,달월,117,78
20251001,수인선,월곶,3791,3476
20251001,수인선,소래포구,6187,5839
20251001,수인선,인천논현,6059,6466
20251001,수인선,호구포,4331,4430
20251001,수인선,남동인더스파크,2651,2996
20251001,수인선,원인재,5005,5166
20251001,수인선,연수,5099,4986
20251001,수인선,송도,2973,2628
20251001,수인선,인하대,9473,8875
20251001,수인선,숭의,5263,4807
20251001,수인선,신포,2006,1986
20251001,수인선,인천,1140,1688
20251001,신림선,샛강,3606,4230
20251001,신림선,대방,3765,2901
20251001,신림선,서울지방병무청,3692,3982
20251001,신림선,보라매,5406,4898
20251001,신림선,보라매공원,3144,3234
20251001,신림선,보라매병원,10125,10611
20251001,신림선,당곡,5672,5396
20251001,신림선,신림,2587,3132
20251001,신림선,서원,4168,3503
20251001,신림선,서울대벤처타운,11506,10331
20251001,신림선,관악산(서울대),3709,3609
20251001,안산선,산본,18214,19303
20251001,안산선,대야미,5830,5052
20251001,안산선,반월,5095,4914
20251001,안산선,상록수,17553,17633
20251001,안산선,한대앞,11435,11370
20251001,안산선,중앙,20424,21396
20251001,안산선,고잔,10237,9787
20251001,안산선,초지,5922,6191
20251001,안산선,안산,12434,11668
20251001,안산선,신길온천,2419,2091
20251001,안산선,정왕,11564,11517
20251001,안산선,오이도,8521,8498
20251001,안산선,수리산,4772,3878
20251001,우이신설선,북한산우이,3317,2990
20251001,우이신설선,솔밭공원,3098,2889
20251001,우이신설선,4.19민주묘지,4893,4722
20251001,우이신설선,가오리,4975,4961
20251001,우이신설선,화계,4355,4147
20251001,우이신설선,삼양,2790,3012
20251001,우이신설선,삼양사거리,3077,2956
20251001,우이신설선,솔샘,6997,6554
20251001,우이신설선,북한산보국문,7431,6970
20251001,우이신설선,정릉,5668,4996
20251001,우이신설선,성신여대입구(돈암),4264,4656
20251001,우이신설선,보문,2041,2034
20251001,우이신설선,신설동,3043,2805
20251001,일산선,원흥,13189,12486
20251001,일산선,지축,3,0
20251001,일산선,삼송,22330,21422
20251001,일산선,원당,13669,13144
20251001,일산선,화정,20123,20590
20251001,일산선,대곡,11768,10380
20251001,일산선,백석,11390,11751
20251001,일산선,마두,8948,8968
20251001,일산선,정발산,8264,8242
20251001,일산선,주엽,10162,9987
20251001,일산선,대화,12452,9846
20251001,장항선,봉명,1670,1657
20251001,장항선,쌍용(나사렛대),3344,3166
20251001,장항선,아산,4521,4442
20251001,장항선,탕정,2330,2004
20251001,장항선,배방,1477,1431
20251001,장항선,온양온천,4676,4677
20251001,장항선,신창(순천향대),3213,2933
20251001,중앙선,회기,33726,32732
20251001,중앙선,중랑,6272,5916
20251001,중앙선,상봉,6822,6639
20251001,중앙선,망우,8597,8202
20251001,중앙선,양원,3841,3704
20251001,중앙선,구리,8549,9012
20251001,중앙선,도농,10985,10042
20251001,중앙선,양정,559,499
20251001,중앙선,덕소,6027,5941
20251001,중앙선,도심,3233,2509
20251001,중앙선,팔당,799,834
20251001,중앙선,운길산,771,729
20251001,중앙선,양수,2050,1923
20251001,중앙선,신원,251,238
20251001,중앙선,국수,899,845
20251001,중앙선,아신,612,621
20251001,중앙선,오빈,314,320
20251001,중앙선,양평,3306,3346
20251001,중앙선,원덕,401,397
20251001,중앙선,용문,1919,1965
20251001,중앙선,지평,61,72
20251001,경원선,창동,5,0
20251001,7호선,장암,3116,1177
20251001,2호선,용답,3632,3487
20251002,6호선,상월곡(한국과학기술연구원),8132,7264
20251002,6호선,돌곶이,13825,12595
20251002,6호선,석계,14902,14903
20251002,6호선,태릉입구,6768,7568
20251002,6호선,화랑대(서울여대입구),14856,11288
20251002,6호선,봉화산(서울의료원),9994,9078
20251002,6호선,신내,1,0
20251002,7호선,장암,3261,1239
20251002,7호선,도봉산,10725,12420
20251002,7호선,수락산,14202,14073
20251002,7호선,마들,15711,14463
20251002,7호선,노원,23027,25206
20251002,7호선,중계,17028,15436
20251002,7호선,하계,20688,19007
20251002,7호선,공릉(서울과학기술대),15124,14132
20251002,7호선,태릉입구,10621,9707
20251002,7호선,먹골,12052,11752
20251002,7호선,중화,12681,12327
20251002,7호선,상봉,20261,20472
20251002,7호선,면목,17806,16825
20251002,7호선,사가정,18619,18606
20251002,7호선,용마산(용마폭포공원),6905,6623
20251002,7호선,중곡,13041,11870
20251002,7호선,군자(능동),17699,13653
20251002,7호선,어린이대공원(세종대),23674,23966
20251002,7호선,건대입구,16412,17316
20251002,7호선,자양(뚝섬한강공원),13911,13289
20251002,7호선,청담,20519,22358
20251002,7호선,강남구청,18826,20999
20251002,7호선,학동,25758,26563
20251002,7호선,논현,22298,23548
20251002,7호선,반포,8210,7804
20251002,7호선,고속터미널,19734,18442
20251002,7호선,내방,17212,17060
20251002,7호선,이수,19267,19021
20251002,7호선,남성,13339,12156
20251002,7호선,숭실대입구(살피재),18690,17565
20251002,7호선,상도,15573,14482
20251002,7호선,장승배기,11192,10717
20251002,7호선,신대방삼거리,17629,16427
20251002,7호선,보라매,7665,7890
20251002,7호선,신풍,13588,12507
20251002,7호선,대림(구로구청),9815,10102
20251002,7호선,남구로,17473,18333
20251002,7호선,가산디지털단지,50508,49894
20251002,7호선,철산,27192,28015
20251002,7호선,광명사거리,25916,25928
20251002,7호선,천왕,14065,13425
20251002,7호선,온수(성공회대입구),12443,11147
20251002,8호선,암사역사공원,7789,6670
20251002,8호선,암사,18770,17004
20251002,8호선,천호(풍납토성),20173,23074
20251002,8호선,강동구청,12044,12302
20251002,8호선,몽촌토성(평화의문),8327,8656
20251002,8호선,잠실(송파구청),20917,25322
20251002,8호선,석촌,9614,10869
20251002,8호선,송파,11086,10685
20251002,8호선,가락시장,10320,11981
20251002,8호선,문정,25713,26805
20251002,8호선,장지,19454,17656
20251002,8호선,복정,10767,8700
20251002,8호선,산성,7151,7039
20251002,8호선,남한산성입구(성남법원.검찰청),16058,14140
20251002,8호선,단대오거리,14354,13104
20251002,8호선,신흥,6045,6005
20251002,8호선,수진,6136,5752
20251002,8호선,모란,5338,4517
20251002,8호선,남위례,8704,8595
20251002,9호선,개화,3036,1887
20251002,9호선,김포공항,6282,12973
20251002,9호선,공항시장,3307,3349
20251002,9호선,신방화,8029,7722
20251002,9호선,마곡나루(서울식물원),16686,16322
20251002,9호선,양천향교,12504,12447
20251002,9호선,가양,26209,24927
20251002,9호선,증미,9562,8954
20251002,9호선,등촌,15027,13964
20251002,9호선,염창,20446,19228
20251002,9호선,신목동,5379,4686
20251002,9호선,선유도,10641,9396
20251002,9호선,당산,21615,20497
20251002,9호선,국회의사당,18612,19075
20251002,9호선,여의도,35008,33152
20251002,9호선,샛강,7792,7563
20251002,9호선,노량진,31261,30305
20251002,9호선,노들,6816,5653
20251002,9호선,흑석(중앙대입구),12183,12168
20251002,9호선,동작(현충원),3118,2453
20251002,9호선,구반포,2328,2003
20251002,9호선,신반포,6404,6084
20251002,9호선,고속터미널,17996,26158
20251002,9호선,사평,5910,5448
20251002,9호선,신논현,35309,36367
20251002,9호선2~3단계,언주,13202,13221
20251002,9호선2~3단계,선정릉,11983,12533
20251002,9호선2~3단계,삼성중앙,9358,9696
20251002,9호선2~3단계,봉은사,23375,24370
20251002,9호선2~3단계,종합운동장,5519,5556
20251002,9호선2~3단계,삼전,9400,8494
20251002,9호선2~3단계,석촌고분,8242,7720
20251002,9호선2~3단계,석촌,10697,9477
20251002,9호선2~3단계,송파나루,6596,6908
20251002,9호선2~3단계,한성백제,3504,3051
20251002,9호선2~3단계,올림픽공원(한국체대),7335,7634
20251002,9호선2~3단계,둔촌오륜,5137,4823
20251002,9호선2~3단계,중앙보훈병원,15805,13354
20251002,경강선,판교,6930,6564
20251002,경강선,이매,1157,1084
