요리명,주재료,부재료,조리법 ,상세설명,데이터기준일자
녹차 고구마볼,"고구마 3개, 카스테라 빵가루 1컵 ","계피가루 ½작은술, 녹차가루 1큰술, 설탕 2큰술, 소금 1작은술","① 고구마는 껍질을 벗기고 깨끗이 씻어 한김 오른 찜솥에 20여분 정도 쪄준다. ② 찐 고구마를 그릇에 담고 식기 전에 으깨어 소금, 설탕, 계피가루, 녹차가루를 넣고 섞어준다. ③ 양념이 된 고구마를 한 입 크기로 동그랗게 빚는다. ④ 카스테라를 체에 대고 문질러 빵가루를 만들어준다. 둥글게 빚은 고구마를 굴려서 고루 묻힌다.",,2022-10-30
녹차 과일초콜릿,"화이트초콜릿, 녹차가루, 건과일",,① 화이트초콜릿을 중탕에 녹여준다. ② 중탕한 화이트초콜릿에 녹차가루를 뿌려준다. ③ 넓은 쟁반에 유산지를 깔고 녹차가루를 넣은 초콜릿을 넓게 부어준다. ④ 초콜릿이 굳기 전에 건조한 과일을 흩뿌리듯 올려준다. ⑤ 3~4시간 정도 후에 초콜릿이 굳어지면 마음대로 깨트려준다.,요리팁: 건조과일 대신 아몬드나 견과류를 뿌려도 된다.,2022-10-30
녹차 다쿠아즈,"다쿠아즈(흰자 132g, 설탕 54g, 슈가파우더 80g, 아몬드가루 108g, 박력분 20g, 녹차가루 12g), 녹차앙글레즈(우유 96g, 설탕 40g, 노른자 54g, 녹차가루 5g)","버터크림(흰자 96g, 물 40g, 설탕 54g, 버터 133g)",① 다쿠아즈의 설탕과 흰자를 이용하여 머랭을 올려준다. ② 가루를 체질해 넣고 머랭이 죽지않도록 반죽해준다. ③ 반죽을 짤주머니에 담고 다쿠아즈틀에 짜준다. ④ 틀을 제거하기 전 슈가파우더를 뿌려준다. ⑤ 틀을 제거하고 170℃의 오븐에 12분 구워준다. ⑥ 앙글레즈 분량의 노른자와 설탕을 섞어준다. ⑦ 우유와 녹차가루를 섞어 끓여준다. ⑧ 데운 우유를 노른자에 넣어 섞고 다시 끓여 걸쭉하게 농도를 맞춰준다. ⑨ 버터크림의 물과 설탕을 끓여 시럽을 만들어준다. ⑩ 흰자만 이용하여 머랭을 70% 올려준다. ⑪ 머랭에 끓인 시럽을 조금씩 넣으며 휘핑을 해 단단하고 윤기나는 머랭을 만들어준다. ⑫ 머랭에 버터를 2번 나누어 넣고 크림이 식을 때까지 휘핑해준다. ⑬ 앙글레즈 크림의 절반을 버터크림에 넣고 계속 휘핑해준다. ⑭ 다 구워진 다쿠아즈에 필링을 채워 냉동하여 먹는다.,분량: 2인분 기준 조리시간: 60분 이내,2022-10-30
녹차 다쿠와즈 쿠키,"흰자 300g, 아몬드 분말 200g, 슈가파우더 134g, 설탕 90g, 녹차가루 24g","생크림 250g, 다크 초콜릿 100g","① 흰자에 설탕을 조금씩 부어가며 거품을 올려준다. 이때 거품을 너무 많이 올리면 안된다. (거품기를 들어서 거품이 휘어질 때까지 한다.) ② 슈가파우더, 아몬드분말과 녹차가루를 체 쳐준다. ③ 거품을 올려준 곳에 가루를 넣어준다. ④ 반죽을 날가루가 보이지 않게 자르듯이 섞어서 둔다. ⑤ 짤주머니에 넣고 짜준다. ⑥ 다 짜준 다음 위에 슈가파우더를 살짝만 뿌려준다 . ⑦ 180~190℃에서 10분 정도 구워준다. 7분 정도 옆에서 확인하면서 구워준다. ⑧ 생크림을 거품기로 올린 다음 다크초콜릿을 잘라 녹여준다. (이때 생크림에 초콜릿을 부으면 안된다. 한꺼번에 부으면 굳어버리기 때문에 초콜릿에 생크림을 나눠서 넣어준다.) ⑨ 덩어리지지 않게 잘 저어준다. ⑩ 쿠키 하나를 뒤집어 크림을 샌드해준 다음 쿠키 하나로 덮어준다.",,2022-10-30
녹차 단팥 마블머핀,"박력분 300g, 무염버터 200g, 설탕 100g, 물엿 100g, 달걀 5개, 아몬드가루 100g, 말차가루(녹차가루) 14g, 베이킹파우더 2작은술, 우유 80g, 생크림 100g","팥앙금 160g, 생크림 2큰술","① 실온에 두어 말랑말랑한 상태의 버터를 핸드믹서로 부드럽게 풀어준다. ② 설탕과 물엿을 한꺼번에 넣지 말고 조금씩 넣어 가면서 핸드믹서로 잘 녹여준다. ③ 달걀 역시 한 개씩 넣어 가면서 핸드믹서로 잘 풀어준다. ④ 박력분, 아몬드가루, 베이킹파우더는 체에 쳐서 넣고 고무주걱으로 대충 섞어준다. ⑤ 우유와 생크림을 넣고 반죽이 부드러워지도록 섞어준다. ⑥ 반죽을 반반 나누어서 한 쪽에 말차가루를 넣고 잘 섞어준다. ⑦ 팥앙금은 그 자체로는 너무 되직하기 때문에 생크림이나 우유 2큰술을 넣고 부드럽게 만들어준다. ⑧ 녹차 반죽에 단팥 앙금을 넣고 대충 섞어준다. 마블이 보이게 만드려면 2~3번만 섞어준다. ⑨ 머핀틀에 유산지를 넣고 흰반죽과 녹차반죽을 반반씩 넣고 젓가락으로 2번 정도 휘저어준다.(너무 많이 휘저으면 마블이 생기지 않는다.) ⑩ 180℃ 예열된 오븐에서 18분~20분 정도 구워준다.",녹차가루보다 말차가루의 색이 더 예쁘기 때문에 베이킹을 할 때 말차가루를 더 선호하는 경향이 있다.,2022-10-30
녹차 단호박 영양밥,"쌀, 찹쌀, 녹차잎, 단호박, 대추, 잣  ",소금 약간,"① 녹차잎은 물에 충분히 우려내준다. ② 쌀과 찹쌀은 충분히 불린 후 녹차 우린 물에 소금을 약간 넣고 밥물을 잡아준다. ③ 단호박과 다진 녹차잎, 대추, 잣을 밥물에 올려 밥을 지어준다. ④ 밥물이 잦아들면 불을 아주 약하게 해서 뜸을 충분히 들인다.",,2022-10-30
녹차 단호박볼,"단호박 1개, 밤 10개, 대추 5개, 잣 10알, 카스테라 빵가루 1컵, 초콜릿 2개 ","계피가루 ⅓작은술, 녹차가루 2큰술, 설탕 2큰술, 소금 1작은술","① 단호박은 껍질을 벗긴 다음 씨를 제거하고 큼직하게 썬 후 한김 오른 찜솥에 10분쯤 찜을 한다. ② 대추는 돌려 깍아 씨를 제거하고 가늘게 채썰고 밤도 껍질을 벗긴 후 채를 썰어 둔다. ③ 잣은 분마기에 갈아놓는다.(분마기가 없다면 키친타올에 올려 칼로 대충 다져준다.) 단호박을 그릇에 담고 식기 전에 으깨어 밤, 대추, 잣, 소금, 설탕, 계피가루, 녹차가루를 넣고 고루 버무린다.  ④ 단호박을 너무 오랫동안 찌면 물기가 많아지고 반죽이 질어진다. 만약에 반죽이 질게 되었다면 카스테라를 이용한 빵가루를 첨가하여 반죽의 농도를 맞춰준다. ⑤ 양념이 된 단호박을 한 입 크기로 동그랗게 빚어 놓는다. ⑥ 카스테라를 체에 대고 문질러 빵가루를 만들어 둥글게 빚은 단호박을 굴려서 고루 묻힌다. ⑦ 초콜릿을 가늘게 채썰어 초콜릿가루를 만들고, 빚은 단호박을 굴려서 고루 묻힌다.",,2022-10-30
녹차 도넛,"박력분, 베이킹파우더, 소금, 계란, 우유, 식용유,",녹차 글레이즈,"① 실온 버터에 설탕을 넣고 거품기로 잘 섞어준다. ② 박력분과 베이킹파우더, 소금을 모두 체 쳐서 볼에 넣고 거품기로 한번 섞어주고 계란과 우유를 넣고 고무주걱으로 섞어준다. ③ 이렇게 반죽이 만들어지면 비닐랩을 씌워서 냉장고에 10분 이상 넣어둔다. ④ 쟁반이나 베이킹팬에 식용유를 조금 바르고 종이호일이나 유산지를 사방 6~7cm로 잘라주고 올려둔다. ⑤ 짤주머니에 별깍지를 끼워주고 반죽을 넣은 후 짜준다. ⑥ 식용유를 180℃로 달궈 불을 줄이고 종이를 그대로 들어서 기름에 넣어준다. ⑦ 도넛이 익으면서 종이가 떨어져 기름 위로 올라오면 종이는 건져준다. ⑧ 튀김기름 온도는 나무젓가락을 넣어서 거품이 뽀글뽀글 올라올 때 반죽을 넣어 주면 된다.",,2022-10-30
녹차 돈가스,"한돈 앞다릿살 300g, 녹차 2봉지(2찻술), 생강 약간, 강황 1큰술, 밀가루, 달걀, 빵가루  ",,① 한돈 앞다릿살은 넓게 펼쳐서 칼등으로 자근자근 조금 두드린다. ② 소금과 후추를 뿌리고 생강을 갈아서 고기의 앞과 뒤에 문질러준다. 생강즙을 뿌려준다. ③ 밀가루 대신 녹차가루를 입혀준다. (고기의 반은 밀가루를 입히고 반은 녹차가루를 입혀준다.) ④ 달걀을 잘 풀어서 가루 입힌 돼지고기를 적셔준다. ⑤ 다음엔 빵가루를 입혀준다. ⑥ 카놀라유를 붓고 170℃의 온도에서 튀겨준다. ⑦ 양파는 두툼하게 1cm 두께로 썰어 익혀준다. ⑧ 접시에 담고 소스를 뿌려준다.,,2022-10-30
녹차 두부 술찜,"두부 1모, 녹차소금 약간, 녹차기름 약간 , 청고추 1개, 홍고추 1개, 양파 ½개, 통깨 약간",양념장: (정종 ½컵+녹차 1작은술)+표고버섯젓갈 2큰술+다시마물 1컵(다시마5*5 1장)+생강즙 1작은술,"① 녹차는 물에 물려서 물기를 빼준다. 물을 빼준 녹차는 청주에 미리 1시간 전에 넣어 녹차청주를 만들어준다. ② 두부는 단단한 것으로 선택해 1모를 8등분해 잘라 수분을 빼주고 녹차소금을 뿌려 수분을 한번 더 빼준다. ③ 청고추와 양파는 아주 곱게 채썰어주고 홍고추는 채썰어준 후 냉수에 헹구어 물기를 빼준다. ④ 녹차소금을 뿌려 물기를 빼준 두부는 녹차기름에 구워서 다시 기름기를 빼준다. ⑤ 냄비에 구운 두부를 담아주고 청고추채, 홍고추채, 양파채를 고루 펴준다. ⑥ 표고버섯젓갈에 녹차청주를 섞어주고 다시마물, 생강즙을 섞어 양념장을 만들어준다. ⑦ 두부가 담아진 냄비에 양념장을 고루 담아 뿌려준 뒤 센불에서 한번 끓여준다. ⑧ 마지막으로 통깨를 뿌려준다.",,2022-10-30
녹차 두부덮밥,"밥 반공기,  두부 ½모, 양파 ½개, 꼬마파프리카 1개, 꽈리고추 3개, 적색양배추 조금, 녹차 1팩, 토마토 ½개, 어린새싹채소 조금, 녹말가루 1과½큰술, 굴소스 1큰술, 소금,후추 조금씩, 육수 ½컵","올리브유 1작은술, 포도씨유 1작은술, 검은깨 조금 ",① 두부는 사방 2cm 정도로 썰어서 소금과 후추를 뿌려 재워둔다. ② 다른 재료들도 두부 크기와 비슷하게 썰어준다. ③ 비닐봉지에 녹말가루 1큰술을 넣고 두부를 넣어서 살랑살랑 흔들어준다. ④ 달궈진 프라이팬에 포도씨유 1작은술을 넣고 앞뒤로 노릇하게 부쳐준다. ⑤ 다른 팬에 올리브유를 넣고 야채들을 볶아준다. ⑥ 부쳐놓았던 두부도 섞어준 다음 육수 ½컵을 넣어주고 녹말가루 1작은술을 물 1큰술에 풀어준 것도 넣어준다. ⑦ 굴소스 1큰술도 넣고 끓인 다음 밥 위에 부어준다.,녹말가루는 농도를 보면서 가감하면 된다.,2022-10-30
녹차 드레싱을 뿌린 딸기 샐러드,"양상추, 딸기, 플레인요구르트, 마요네즈, 우유, 녹차가루",남은 식빵이나 바게트,① 양상추와 딸기를 손질한다. ② 플레인요구르트 + 마요네즈 + 우유 + 녹차가루를 섞어 녹차 드레싱을 만들어준다. ③ 샐러드 위에 뿌려준다.,,2022-10-30
녹차 땅콩 호두과자,"핫케이크가루 1컵, 녹차 1큰술, 계란 1개, 우유  ","팥, 호두, 땅콩","① 볼에 계란 1개를 풀고 핫케이크가루와 녹차가루를 섞어준다. ② 우유로 반죽의 되기를 조절한다. ③ 틀에 오일을 묻혀 티슈로 닦아준다. ④ 반죽을 ⅓ 정도 담아준다. ⑤ ⅓ 정도 담아진 반죽에 전처리 된 호두와 땅콩, 그리고 단팥을 넣어준다. ⑥ 나머지 반죽을 위에 부어 180℃ 예열 오븐에 20~25분간 구워준다.",,2022-10-30
녹차 롤케이크,"직사각형 팬 1개분 (½빵팬 한개분), 우유 180g, 버터 60g, 박력분 60g, 녹차가루 12g, 노른자 4개, 달걀 4개, 흰자 180g(5개 분량), 설탕 96g",,① 샹티크림을 만들어 냉장보관 해둔다. 차가운 생크림에 분량의 설탕을 넣고 90% 정도 단단하게 휘핑해둔다. 너무 휘핑하면 식감이 좋지 않으니 부드러우면서도 단단하게 휘핑해준다. ② 시트를 만들어준다. 팬에 우유와 버터를 한꺼번에 담고 약불에서 서서히 저어가며 데워준다. 버터가 녹고 우유가 주변부터 끓기 시작하면서 따끈해지면 불에서 내려준다. ③ 체 친 밀가루와 녹차가루를 넣고 주걱으로 잘 섞어준다.,4인분 기준 60분 이내 완성,2022-10-30
녹차 리에주 와플,"강력분 100g, 박력분 100g, 녹차가루 10g, 설탕 30g, 소금 2g, 인스턴트드라이이스트 5g, 달걀 50g, 따뜻한 우유 80g, 무염버터 50g ","[필링] 팥앙금 160g [초코소스] 초콜릿 50g, 우유 40g, 물엿(또는 꿀) 1ts","① 버터를 제외한 모든 재료를 넣어준다.(이스트가 소금과 설탕에 직접적으로 닿지 않도록 각각 떨어뜨려서 넣어준다.) ② 녹차가루를 그냥 넣으면 잘 안 섞여 쓴맛이 날 수 있으니 박력분과 잘 섞어서 사용해준다. ③ 손이나 반죽기로 5분간 반죽해준다. ④ 재료가 뭉쳐지기 시작하면 버터를 넣고 15~20분간 매끄럽게 반죽해준다. ⑤ 표면이 마르지 않도록 랩을 씌우고, 따뜻한 곳(40℃)에 50분간 1차 발효시켜준다. ⑥ 반죽의 가스를 가볍게 빼고 8등분으로 나눠 둥글려준다. 그런 다음 랩을 덮어 15분간 중간 발효시켜준다. ⑦ 중간 발효하는 동안 미리 팥앙금을 20g씩 8개를 동그랗게 빚어준다. ⑧ 중간 발효가 끝나면 반죽을 손바닥으로 납작하게 펴고 팥앙금을 올려준다. ⑨ 팥앙금을 꼼꼼하게 감싼 다음 윗면을 약간 납작하게 눌러준다.",6인분 이상 기준 120분 이내 완성,2022-10-30
녹차 마들렌," 무염버터 100g, 박력분 100g, 달걀 2개, 설탕 100g, 베이킹파우더 4g, 녹차가루 ","무염버터 조금, 박력분 조금","① 달걀, 설탕을 넣고 잘 저어준다. ② 박력분을 넣고 잘 섞어준다. ③ 녹차가루, 박력분을 넣고 잘 섞어준다. ④ 전자레인지를 이용해서 버터를 녹여준다. ⑤ 녹인 버터를 넣고 잘 섞어준다. ⑥ 그리고 랩으로 씌운 뒤, 냉장고에 1시간 정도 놔둔다. ⑦ 그러는 동안에 마들렌틀에 버터를 꼼꼼하게 발라준 뒤 냉동실에 넣고 굳혀준다. ⑧ 틀에 박력분을 뿌려준다. ⑨ 1시간 뒤 냉장고에서 꺼내서 반죽을 한번 휘적휘적 해준다. ⑩ 짤 주머니에 담아 틀의 80% 정도로 채워준다. ⑪ 200℃로 예열한 후 180℃, 12분 정도 구워준다.",마들렌을 구울 때 제일 밑에서 굽지 말고 두세째 칸에서 구워준다. 또한 오븐팬에 두고 구워준다.,2022-10-30
